step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.70804,0.72483,,
2,0.31734,0.95312,,
3,1.69804,0.71523,,
4,1.11891,0.80108,,
5,1.5398,0.72549,,
6,0.44111,0.95312,,
7,1.62424,0.72626,,
8,1.32483,0.76282,,
9,1.18225,0.77419,,
10,1.13512,0.8,,
11,0.92611,0.77215,,
12,0.93904,0.80978,,
13,1.11356,0.7451,,
14,0.7649,0.82249,,
15,0.92359,0.76866,,
16,0.99815,0.7483,,
17,0.73261,0.82014,,
18,0.75405,0.8,,
19,0.59867,0.85976,,
20,0.5131,0.87671,,
21,0.60845,0.83436,,
22,0.49181,0.85116,,
23,0.42404,0.88591,,
24,0.50855,0.88235,,
25,0.35643,0.86923,,
26,0.29667,0.92025,,
27,0.24364,0.94479,,
28,0.15906,0.94231,,
29,0.32825,0.91406,,
30,0.20819,0.96226,,
31,0.96342,0.7957,,
32,0.45025,0.9,,
33,0.14232,0.96875,,
34,0.27624,0.94152,,
35,0.04823,0.99315,,
36,0.09512,0.97468,,
37,1.05736,0.73232,,
38,1.12105,0.7582,,
39,0.56453,0.82278,,
40,0.35732,0.93939,,
41,0.05922,0.98693,,
42,0.13461,0.96178,,
43,0.06704,0.98742,,
44,0.04722,0.99342,,
45,0.11915,0.975,,
46,0.92586,0.78075,,
47,0.87905,0.80889,,
48,0.21229,0.94355,,
49,0.29988,0.91351,,
50,0.09909,0.98077,,
51,0.94263,0.74033,,
52,0.04077,0.99346,,
53,0.04091,0.98113,,
54,0.05804,0.98734,,
55,0.16986,0.95122,,
56,0.14013,0.98113,,
57,0.27057,0.93373,,
58,0.40028,0.86957,,
59,0.28994,0.90769,,
60,0.04505,0.99342,,
61,0.08477,0.98438,,
62,0.84758,0.75936,,
63,0.03702,0.99371,,
64,0.04566,0.98734,,
65,0.6251,0.84409,,
66,0.09257,0.96774,,
67,0.1703,0.93789,,
68,0.07069,0.97484,,
69,0.09978,0.96835,,
70,0.03245,0.9875,,
71,0.27735,0.93413,,
72,0.5092,0.875,,
73,0.18843,0.94937,,
74,0.13643,0.96835,,
75,0.43295,0.89888,,
76,0.65073,0.8253,,
77,1.04939,0.72143,,
78,0.25687,0.92857,,
79,0.1689,0.95513,,
80,0.0588,0.98113,,
81,0.11896,0.9625,,
82,0.1327,0.97386,,
83,0.03381,1.0,,
84,0.57111,0.83333,,
85,0.51832,0.88489,,
86,0.01654,1.0,,
87,0.02109,0.99346,,
88,0.05741,0.98101,,
89,0.07836,0.97656,,
90,0.04991,0.98639,,
91,0.76473,0.82234,,
92,0.4676,0.92025,,
93,0.45076,0.89205,,
94,0.69708,0.83598,,
95,0.15408,0.95625,,
96,0.42062,0.9122,,
97,0.69517,0.83099,,
98,0.04871,0.99074,,
99,0.12889,0.96104,,
100,0.02338,0.98374,,
101,0.65612,0.83032,,
102,0.29551,0.92727,,
103,0.07895,0.97484,,
104,0.15788,0.95973,,
105,0.85404,0.79897,,
106,0.60052,0.8481,,
107,0.27731,0.95181,,
108,0.0498,0.98077,,
109,0.00804,1.0,,
110,0.54726,0.85443,,
111,0.61493,0.82079,,
112,0.66158,0.81646,,
113,0.25191,0.93452,,
114,0.60664,0.85612,,
115,0.0512,0.98693,,
116,0.05849,0.98734,,
117,0.13989,0.96341,,
118,0.06225,0.98125,,
119,0.30301,0.91628,,
120,0.21158,0.91892,,
121,0.03034,0.99315,,
122,0.42216,0.88608,,
123,0.0453,0.98113,,
124,0.0378,0.98113,,
125,0.38232,0.89928,,
126,0.31003,0.92135,,
127,0.67777,0.83607,,
128,0.09143,0.96154,,
129,0.0665,0.98125,,
130,0.04657,0.99219,,
131,0.12215,0.96203,,
132,0.30222,0.92391,,
133,0.24694,0.94643,,
134,0.05788,0.96835,,
135,0.05294,0.98718,,
136,0.1718,0.91935,,
137,0.15255,0.97076,,
138,0.20344,0.94118,,
139,0.07222,0.98734,,
140,0.58615,0.84354,,
141,0.0642,0.98734,,
142,0.04885,0.98734,,
143,0.03702,0.98742,,
144,0.01556,0.99346,,
145,0.18498,0.94578,,
146,0.06085,0.98113,,
147,0.53504,0.87097,,
148,0.50397,0.8836,,
149,0.33686,0.91707,,
150,0.5844,0.82682,,
151,0.07824,0.98039,,
152,0.08705,0.97484,,
153,0.73925,0.79558,,
154,0.07093,0.98077,,
155,0.38942,0.90909,,
156,0.43872,0.86577,,
157,0.46043,0.8638,,
158,0.34683,0.88608,,
159,0.13449,0.96753,,
160,0.70951,0.82474,,
161,0.07524,0.9816,,
162,0.60915,0.83422,,
163,0.4613,0.8777,,
164,0.50659,0.87342,,
165,0.02317,0.99346,,
166,0.13193,0.9625,,
167,0.36798,0.85443,,
168,0.01623,1.0,,
169,0.58517,0.84444,,
170,0.19905,0.95152,,
171,0.04454,0.98639,,
172,0.76313,0.77857,,
173,0.10361,0.98171,,
174,0.06015,0.98039,,
175,0.07643,0.98089,,
176,0.10298,0.97987,,
177,0.23254,0.93976,,
178,0.47969,0.87037,,
179,0.14079,0.96026,,
180,0.22063,0.94304,,
181,0.0438,0.99074,,
182,0.07389,0.98039,,
183,0.09953,0.97419,,
184,0.47715,0.85787,,
185,0.21863,0.95152,,
186,0.02554,0.99219,,
187,0.78396,0.75758,,
188,0.54558,0.83803,,
189,0.19687,0.92857,,
190,0.03778,0.98684,,
191,0.12819,0.9645,,
192,0.12637,0.96094,,
193,0.05327,0.98718,,
194,0.17744,0.95973,,
195,0.54435,0.85484,,
196,0.04074,0.98742,,
197,0.06892,0.9875,,
198,0.33219,0.91406,,
199,0.60605,0.83957,,
200,0.51327,0.83453,,
201,0.0166,0.99346,,
202,0.24574,0.93252,,
203,0.27085,0.92029,,
204,0.02839,0.98684,,
205,0.04754,0.98438,,
206,0.54952,0.83955,,
207,0.09356,0.95652,,
208,0.04999,0.98101,,
209,0.04463,0.98113,,
210,0.50861,0.84337,,
211,0.51596,0.84946,,
212,0.41039,0.8556,,
213,0.12849,0.9871,,
214,0.20999,0.95092,,
215,0.31424,0.90769,,
216,0.01451,0.99187,,
217,0.03617,0.98438,,
218,0.02163,0.99371,,
219,0.03786,0.98718,,
220,0.19781,0.95808,,
221,0.29229,0.93333,,
222,0.03227,0.98438,,
223,0.46996,0.87097,,
224,0.21991,0.92308,,
225,0.00864,0.99219,,
226,0.03117,0.98734,,
227,0.15179,0.95385,,
228,0.02829,0.9863,,
229,0.02118,0.98693,,
230,0.34867,0.92025,,
231,0.17132,0.94512,,
232,0.10529,0.96203,,
233,0.19605,0.9375,,
234,0.01973,0.99315,,
235,0.05452,0.98101,,
236,0.16152,0.96364,,
237,0.01238,0.99346,,
238,0.68416,0.75253,,
239,0.07232,0.98077,,
240,0.01125,1.0,,
241,0.07273,0.97403,,
242,0.08007,0.9871,,
243,0.25346,0.92558,,
244,0.46252,0.88172,,
245,0.41619,0.86076,,
